id,word,jyutping,meaning,frequency,frequency_rank,note,source_row,sentence_1,sentence_1_meaning,sentence_1_jyutping,sentence_2,sentence_2_meaning,sentence_2_jyutping,sentence_3,sentence_3_meaning,sentence_3_jyutping,exclusion_reason
yue-v-05910,請食飯,,,15,5910,,5921,,,,,,,,,,missing meaning/definition
yue-v-05911,幾多號,,,15,5911,,5922,,,,,,,,,,missing meaning/definition
yue-v-05912,私影,,,15,5912,,5923,,,,,,,,,,missing meaning/definition
yue-v-05913,趕住,,,15,5913,,5924,,,,,,,,,,missing meaning/definition
yue-v-05914,龍友,,,15,5914,,5925,,,,,,,,,,missing meaning/definition
yue-v-05915,完場,,,15,5915,,5926,,,,,,,,,,missing meaning/definition
yue-v-05916,正題,,,15,5916,,5927,,,,,,,,,,missing meaning/definition
yue-v-05917,課文,,,15,5917,,5928,,,,,,,,,,missing meaning/definition
yue-v-05918,象形,,,15,5918,,5929,,,,,,,,,,missing meaning/definition
yue-v-05919,用字,,,15,5919,,5930,,,,,,,,,,missing meaning/definition
yue-v-05920,原文,,,15,5920,,5931,,,,,,,,,,missing meaning/definition
yue-v-05921,奧運,,,15,5921,,5932,,,,,,,,,,missing meaning/definition
yue-v-05922,㩒,,,15,5922,,5933,,,,,,,,,,missing meaning/definition
yue-v-05923,鋌,,,15,5923,,5934,,,,,,,,,,missing meaning/definition
yue-v-05924,蔡,,,15,5924,,5935,,,,,,,,,,missing meaning/definition
yue-v-05925,郭,,,15,5925,,5936,,,,,,,,,,missing meaning/definition
yue-v-05926,啪,,,15,5926,,5937,,,,,,,,,,missing meaning/definition
yue-v-06212,account,,,14,6212,,6223,,,,,,,,,,missing meaning/definition
yue-v-06213,講嘢呀,,,14,6213,,6224,,,,,,,,,,missing meaning/definition
yue-v-06214,碌卡,,,14,6214,,6225,,,,,,,,,,missing meaning/definition
yue-v-06215,擰頭,,,14,6215,,6226,,,,,,,,,,missing meaning/definition
yue-v-06216,爭住,,,14,6216,,6227,,,,,,,,,,missing meaning/definition
yue-v-06217,埋口,,,14,6217,,6228,,,,,,,,,,missing meaning/definition
yue-v-06218,條毛,,,14,6218,,6229,,,,,,,,,,missing meaning/definition
yue-v-06219,行行,,,14,6219,,6230,,,,,,,,,,missing meaning/definition
yue-v-06220,搞法,,,14,6220,,6231,,,,,,,,,,missing meaning/definition
yue-v-06221,急住,,,14,6221,,6232,,,,,,,,,,missing meaning/definition
yue-v-06222,判詞,,,14,6222,,6233,,,,,,,,,,missing meaning/definition
yue-v-06223,冇法,,,14,6223,,6234,,,,,,,,,,missing meaning/definition
yue-v-06224,近日,,,14,6224,,6235,,,,,,,,,,missing meaning/definition
yue-v-06225,用語,,,14,6225,,6236,,,,,,,,,,missing meaning/definition
yue-v-06226,寧,,,14,6226,,6237,,,,,,,,,,missing meaning/definition
yue-v-06227,内,,,14,6227,,6238,,,,,,,,,,missing meaning/definition
yue-v-06228,徒,,,14,6228,,6239,,,,,,,,,,missing meaning/definition
yue-v-06229,踪,,,14,6229,,6240,,,,,,,,,,missing meaning/definition
yue-v-06230,噷,,,14,6230,,6241,,,,,,,,,,missing meaning/definition
yue-v-06540,自自然然,,,13,6540,,6551,,,,,,,,,,missing meaning/definition
yue-v-06541,team,,,13,6541,,6552,,,,,,,,,,missing meaning/definition
yue-v-06542,乜乜乜,,,13,6542,,6553,,,,,,,,,,missing meaning/definition
yue-v-06543,搭的士,,,13,6543,,6554,,,,,,,,,,missing meaning/definition
yue-v-06544,膝頭,,,13,6544,,6555,,,,,,,,,,missing meaning/definition
yue-v-06545,鬆啲,,,13,6545,,6556,,,,,,,,,,missing meaning/definition
yue-v-06546,爭在,,,13,6546,,6557,,,,,,,,,,missing meaning/definition
yue-v-06547,難講,,,13,6547,,6558,,,,,,,,,,missing meaning/definition
yue-v-06548,背住,,,13,6548,,6559,,,,,,,,,,missing meaning/definition
yue-v-06549,阿炳,,,13,6549,,6560,,,,,,,,,,missing meaning/definition
yue-v-06550,粵文,,,13,6550,,6561,,,,,,,,,,missing meaning/definition
yue-v-06551,左膠,,,13,6551,,6562,,,,,,,,,,missing meaning/definition
yue-v-06552,洋腸,,,13,6552,,6563,,,,,,,,,,missing meaning/definition
yue-v-06553,後繼,,,13,6553,,6564,,,,,,,,,,missing meaning/definition
yue-v-06554,人參,,,13,6554,,6565,,,,,,,,,,missing meaning/definition
yue-v-06555,日文,,,13,6555,,6566,,,,,,,,,,missing meaning/definition
yue-v-06556,假借,,,13,6556,,6567,,,,,,,,,,missing meaning/definition
yue-v-06557,大火,,,13,6557,,6568,,,,,,,,,,missing meaning/definition
